date,hospital_id,drug_atc_code,drug_name,qty_ordered,qty_used,qty_wasted,patient_visits,avg_lead_time_days,unit_cost_eur,pathology_focus,region,hospital_size_beds,is_rural
2023-01-01,HOSP_001,J01CA04,Amoxicillin,1906,1695,211,3211,3,2.0,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,J01CA04,Amoxicillin,1612,1373,239,3025,6,2.0,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,J01CA04,Amoxicillin,1304,1188,116,1951,5,2.0,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,J01CA04,Amoxicillin,1406,1230,176,2374,4,2.0,general,Ile-de-France,1200,False
2023-05-01,HOSP_001,J01CA04,Amoxicillin,1377,1245,132,2212,7,2.0,general,Ile-de-France,1200,False
2023-06-01,HOSP_001,J01CA04,Amoxicillin,2264,1983,281,2094,3,2.0,general,Ile-de-France,1200,False
2023-07-01,HOSP_001,J01CA04,Amoxicillin,1270,1082,188,2100,6,2.0,general,Ile-de-France,1200,False
2023-08-01,HOSP_001,J01CA04,Amoxicillin,1300,1154,146,2211,6,2.0,general,Ile-de-France,1200,False
2023-09-01,HOSP_001,J01CA04,Amoxicillin,1372,1197,175,2590,4,2.0,general,Ile-de-France,1200,False
2023-10-01,HOSP_001,J01CA04,Amoxicillin,1800,1609,191,3171,7,2.0,general,Ile-de-France,1200,False
2023-11-01,HOSP_001,J01CA04,Amoxicillin,2014,1835,179,2736,4,2.0,general,Ile-de-France,1200,False
2023-12-01,HOSP_001,J01CA04,Amoxicillin,1952,1736,216,3149,4,2.0,general,Ile-de-France,1200,False
2024-01-01,HOSP_001,J01CA04,Amoxicillin,1780,1537,243,3022,7,2.0,general,Ile-de-France,1200,False
2024-02-01,HOSP_001,J01CA04,Amoxicillin,1981,1803,178,3189,4,2.0,general,Ile-de-France,1200,False
2024-03-01,HOSP_001,J01CA04,Amoxicillin,1340,1159,181,2268,5,2.0,general,Ile-de-France,1200,False
2024-04-01,HOSP_001,J01CA04,Amoxicillin,1303,1157,146,1997,6,2.0,general,Ile-de-France,1200,False
2024-05-01,HOSP_001,J01CA04,Amoxicillin,1308,1193,115,1949,6,2.0,general,Ile-de-France,1200,False
2024-06-01,HOSP_001,J01CA04,Amoxicillin,1176,1019,157,2168,5,2.0,general,Ile-de-France,1200,False
2024-07-01,HOSP_001,J01CA04,Amoxicillin,1388,1223,165,2303,6,2.0,general,Ile-de-France,1200,False
2024-08-01,HOSP_001,J01CA04,Amoxicillin,1290,1167,123,2093,3,2.0,general,Ile-de-France,1200,False
2024-09-01,HOSP_001,J01CA04,Amoxicillin,1214,1097,117,1937,7,2.0,general,Ile-de-France,1200,False
2024-10-01,HOSP_001,J01CA04,Amoxicillin,1885,1647,238,2859,4,2.0,general,Ile-de-France,1200,False
2024-11-01,HOSP_001,J01CA04,Amoxicillin,1887,1648,239,2894,5,2.0,general,Ile-de-France,1200,False
2024-12-01,HOSP_001,J01CA04,Amoxicillin,1780,1635,145,2873,7,2.0,general,Ile-de-France,1200,False
2023-01-01,HOSP_001,J01DD04,Ceftriaxone,684,607,77,2846,7,5.0,general,Ile-de-France,1200,False
2023-02-01,HOSP_001,J01DD04,Ceftriaxone,772,673,99,3185,5,5.0,general,Ile-de-France,1200,False
2023-03-01,HOSP_001,J01DD04,Ceftriaxone,530,476,54,2116,6,5.0,general,Ile-de-France,1200,False
2023-04-01,HOSP_001,J01DD04,Ceftriaxone,479,437,42,1921,4,5.0,general,Ile-de-France,1200,False
